Label,Kappa,Quality,Human_Count,AI_Count
Functional (F),0.8118465481469428,Excellent 🌟,367,364
Availability (A),0.7807017543859649,Good ✅,18,15
Fault Tolerance (FT),0.7813411078717201,Good ✅,20,23
Legal (L),0.6575342465753424,Good ✅,15,12
Look & Feel (LF),0.7129265091863517,Good ✅,11,14
Maintainability (MN),0.6325690770135215,Good ✅,14,14
Operability (O),0.6358274710438429,Good ✅,57,72
Performance (PE),0.8902546093064091,Excellent 🌟,32,26
Portability (PO),0.6868149076103978,Good ✅,28,26
Scalability (SC),0.8142299832806985,Excellent 🌟,13,9
Security (SE),0.8618929867943389,Excellent 🌟,96,91
Usability (US),0.7422911437791323,Good ✅,53,46
